station_id,latitude,longitude,pm2_5_reported,pm2_5_new_standard,pressure,temperature
1,18.2489,109.5078,15.1,13.7,100.35,25.84
2,18.2681,109.4964,14.2,12.9,100.35,26.07
3,19.9507,110.576,14.66,13.41,100.88,25.34
4,19.9969,110.338,16.45,15.02,100.84,25.29
5,20.0053,110.283,19.84,18.1,100.84,25.43
6,20.0356,110.33,17.54,16.01,100.84,25.32
7,20.0574,110.3232,15.95,14.57,100.85,25.28
8,21.1997,110.4019,22.85,20.97,100.89,24.4
9,21.2028,110.4111,22.19,20.36,100.91,24.4
10,21.2228,110.3928,21.31,19.52,100.85,24.58
11,21.2567,110.4558,22.42,20.58,100.9,24.39
12,21.2679,110.3316,23.16,21.26,100.87,24.24
13,21.2706,110.3539,21.79,20,100.88,24.35
14,21.4086,109.1436,20.6,18.9,100.99,24.66
15,21.4661,109.0981,17,15.6,100.96,24.48
16,21.4689,111.0286,15.47,14.25,100.75,24.09
17,21.5233,109.1778,24.4,22.5,100.94,24.28
18,21.5958,109.2256,27.8,25.6,100.89,24.41
19,21.6158,108.3411,26.25,24.07,100.62,23.9
20,21.6414,108.3506,25.17,23.09,100.62,23.96
21,21.6533,110.9294,21.45,19.69,100.67,24.1
22,21.6669,110.9067,25.6,23.51,100.67,24.1
23,21.6828,110.8592,23.91,21.93,100.66,24.11
24,21.7431,108.5989,29.05,26.68,100.68,23.99
25,21.7631,108.3511,28.44,26.1,100.54,23.91
26,21.8536,111.9508,26.97,24.78,100.71,23.76
27,21.8586,111.9786,25.25,23.22,100.73,23.76
28,21.865,111.9494,24.72,22.72,100.71,23.78
29,21.9508,108.6553,30.66,28.12,100.57,24
30,21.9667,108.6236,25.06,23.02,100.54,23.91
31,22.0019,100.7939,49.45,39.95,87.64,20.27
32,22.0225,100.8017,29.95,24.18,87.61,20.33
33,22.2281,113.299,24.29,22.32,100.92,23.99
34,22.2294,113.495,27.35,25.18,100.82,23.86
35,22.2611,113.574,22.84,20.97,100.8,23.88
36,22.3708,107.3701,37.6,34.1,99.63,23.68
37,22.4137,107.3476,38.4,34.9,99.67,23.74
38,22.4251,113.628,23.38,21.48,100.8,23.75
39,22.4853,113.4411,24.3,22.3,100.89,23.92
40,22.5111,113.4075,22.9,21.1,100.88,23.91
41,22.5167,113.923,22.21,20.35,100.69,23.78
42,22.5171,113.9181,22,23.03,100.5,23.54
43,22.5211,113.3769,28,25.7,100.89,23.96
